# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   56       2.586940122455e-10       3.323334124616e-14      -5.520909491624e-13       8.794053161040e-15       4.140213649288e-11       4.590484362249e-12      -9.679326132976e-15 
   57       2.606009608515e-10       3.475695401815e-14      -5.946608783768e-13       8.953575916045e-15       3.979917467545e-11       4.430326978428e-12      -1.015588177371e-14 
   58       2.625364941546e-10       3.631773367090e-14      -6.387409985566e-13       9.108414111037e-15       3.827819995774e-11       4.278490549034e-12      -1.056765539189e-14 
   59       2.645002771925e-10       3.791561834092e-14      -6.843712558259e-13       9.258425958835e-15       3.682730213423e-11       4.133828226190e-12      -1.084879665197e-14 
   60       2.664953265667e-10       3.954992275636e-14      -7.315271551873e-13       9.403480821101e-15       3.544456040228e-11       3.996098873586e-12      -1.099943605837e-14 
   61       2.685244536656e-10       4.121970904385e-14      -7.801618964277e-13       9.543460103898e-15       3.412950788584e-11       3.865169979220e-12      -1.104028086930e-14 
   62       2.705888886653e-10       4.292392050384e-14      -8.302217011259e-13       9.678257838093e-15       3.287993431750e-11       3.740718153991e-12      -1.099606140929e-14 
   63       2.726881693822e-10       4.466137790774e-14      -8.816455905000e-13       9.807781076961e-15       3.169178485231e-11       3.622218230079e-12      -1.089571061286e-14 
   64       2.748200301256e-10       4.643077579499e-14      -9.343651632550e-13       9.931950293796e-15       3.055905888169e-11       3.508932359327e-12      -1.077254356825e-14 
   65       2.769819115579e-10       4.823080997460e-14      -9.883185881452e-13       1.005069239767e-14       2.947546575772e-11       3.400113013275e-12      -1.065693779470e-14 
   66       2.791761115868e-10       5.006059973196e-14      -1.043496524974e-12       1.016391716845e-14       2.844002680858e-11       3.295686439200e-12      -1.055216901373e-14 
   67       2.814055298800e-10       5.191934868303e-14      -1.099905560483e-12       1.027153652711e-14       2.745248235904e-11       3.195694888271e-12      -1.045376364244e-14 
   68       2.836720785400e-10       5.380622142778e-14      -1.157555023972e-12       1.037347166481e-14       2.651158843856e-11       3.100090659558e-12      -1.035651682909e-14 
   69       2.859766162994e-10       5.572034351731e-14      -1.216457162760e-12       1.046965323399e-14       2.561506473951e-11       3.008731181677e-12      -1.025446222713e-14 
   70       2.883188827168e-10       5.766080142103e-14      -1.276627317644e-12       1.056002153950e-14       2.475954257538e-11       2.921374094435e-12      -1.014084176920e-14 
   71       2.906974323713e-10       5.962664249381e-14      -1.338084098368e-12       1.064452672973e-14       2.394051283904e-11       2.837672330477e-12      -1.000807544115e-14 
   72       2.931107101278e-10       6.161683471880e-14      -1.400839449524e-12       1.072312944931e-14       2.315348585561e-11       2.757268148010e-12      -9.850064313154e-15 
   73       2.955606621097e-10       6.363013706258e-14      -1.464866250794e-12       1.079580251761e-14       2.239784433479e-11       2.680107054830e-12      -9.669678586534e-15 
